"product_name","unit_price","total_price","size_amount","unit_name","store_id","image_url","merchant_productid","brand_name"
"Compliments White Eggs Large 12 Count",NULL,"$4.25",12.0,"each",16,"https://voila.ca/images-v3/2d92d19c-0354-49c0-8a91-5260ed0bf531/c58e2f98-363f-4515-b70b-160e73c03bd8/300x300.jpg","33762464-3327-49e6-83ee-74d86b64b1c0","Compliments"
"Compliments White Eggs Large 30 Count",NULL,"$10.19",30.0,"each",16,"https://voila.ca/images-v3/2d92d19c-0354-49c0-8a91-5260ed0bf531/df2b4252-0e75-4c5e-aca6-37b3e4316bd7/300x300.jpg","beed75d5-2285-45fe-829d-06c7f6ebae4d","Compliments"
"Compliments Eggs Large Value Size 18 Count",NULL,"$6.19",18.0,"each",16,"https://voila.ca/images-v3/2d92d19c-0354-49c0-8a91-5260ed0bf531/655840f5-89e3-46af-9670-cc3c5006562c/300x300.jpg","d9f1a57f-4566-407d-b66f-ccad54d7e066","Compliments"
"Compliments White Eggs Free Run Large 12 Count",NULL,"$6.99",12.0,"each",16,"https://voila.ca/images-v3/2d92d19c-0354-49c0-8a91-5260ed0bf531/9c8a05db-5c1c-4a7a-8623-829e07660222/300x300.jpg","33259c8c-08a4-4575-a347-ff225ccd244f","Compliments"
"Compliments White Eggs Extra Large 12 Count",NULL,"$4.79",12.0,"each",16,"https://voila.ca/images-v3/2d92d19c-0354-49c0-8a91-5260ed0bf531/1a611ce6-99d1-4460-afd3-814131c37940/300x300.jpg","8a3b3021-3c71-471c-bb54-61e539c8b2cd","Compliments"
"Compliments Organic Brown Eggs Free Range Grade A Large 12 Count",NULL,"$7.29",12.0,"each",16,"https://voila.ca/images-v3/2d92d19c-0354-49c0-8a91-5260ed0bf531/919620b1-a9b9-42e5-ab75-e5c71abca0b5/300x300.jpg","4e8dcf93-93bc-47f1-a833-f608f2d22bbf","Compliments Organic"
"Burnbrae Farms Eggs2Go Omega 3 Eggs Hard Boiled & Peeled 6 Count",NULL,"$5.49",6.0,"each",16,"https://voila.ca/images-v3/2d92d19c-0354-49c0-8a91-5260ed0bf531/303bd52a-0db7-41c5-98e9-9437ccebd8c8/300x300.jpg","3984aed3-20fd-4969-ac3c-a83cafe4cb97","Burnbrae Farms"
"Compliments Cozy Coop Eggs Large 12 Count",NULL,"$4.99",12.0,"each",16,"https://voila.ca/images-v3/2d92d19c-0354-49c0-8a91-5260ed0bf531/cd6c9e4d-3279-4bc5-b65b-ce25494b8746/300x300.jpg","7faa63e3-080f-4869-85aa-b97c0f10ccfd","Compliments"
"Compliments Brown Eggs Large Carton 12 Count",NULL,"$5.19",12.0,"each",16,"https://voila.ca/images-v3/2d92d19c-0354-49c0-8a91-5260ed0bf531/739f22c0-27f6-42c2-90b8-ee3753398a2d/300x300.jpg","8720283f-9bfd-439c-ba9f-678c70da3b16","Compliments"
"Compliments White Eggs Medium 12 Count",NULL,"$4.19",12.0,"each",16,"https://voila.ca/images-v3/2d92d19c-0354-49c0-8a91-5260ed0bf531/76bad913-e2cb-4143-8b72-919a92ab78e3/300x300.jpg","63cf6316-9834-4faa-a758-83fbf0db7816","Compliments"
"Gold Egg Golden D White Eggs Large Value Size 18 Count",NULL,"$8.69",18.0,"each",16,"https://voila.ca/images-v3/2d92d19c-0354-49c0-8a91-5260ed0bf531/c58999ac-daac-4f64-8e9c-cedcd01458bf/300x300.jpg","8dfcea9d-4cd4-4b86-8e54-1b2ae8cf4e15","GoldEgg"
"CRAVE Breakfast Bowl Scramble Kit Classic 79 g",NULL,"$3.99",79.0,"g",16,"https://voila.ca/images-v3/2d92d19c-0354-49c0-8a91-5260ed0bf531/43751cc8-d220-4f1e-94b2-5e470a117495/300x300.jpg","5eabcabb-7f42-43bd-9ca3-4968913c6d2d","Crave"
"Compliments Organic Brown Eggs Free Range Medium 12 Count",NULL,"$7.79",12.0,"each",16,"https://voila.ca/images-v3/2d92d19c-0354-49c0-8a91-5260ed0bf531/a2929a17-e812-4bc4-bdb2-67b99b49e321/300x300.jpg","44c6ccb4-7391-429e-938e-77b8492e4e8d","Compliments Organic"
"Eggs2go Omega 3 Eggs Hard Boiled Peeled 2 Count",NULL,"$1.99",2.0,"each",16,"https://voila.ca/images-v3/2d92d19c-0354-49c0-8a91-5260ed0bf531/7c646fdb-71b7-418b-b6ec-69bf19fa3f90/300x300.jpg","86e6be03-e3bd-4f00-8b58-3db1cdacf665","EGGS2go"
"Gold Egg White Eggs Large 6 Count",NULL,"$3.39",6.0,"each",16,"https://voila.ca/images-v3/2d92d19c-0354-49c0-8a91-5260ed0bf531/61791b52-75ac-4da1-9f1d-f48815564857/300x300.jpg","9a76a1e7-436d-4201-8d30-c0755e65968c","GoldEgg"
"Compliments Omega 3 White Eggs Free Run Large 12 Count",NULL,"$7.39",12.0,"each",16,"https://voila.ca/images-v3/2d92d19c-0354-49c0-8a91-5260ed0bf531/ae3bc439-80e9-47a9-90d0-2e4c70463a5b/300x300.jpg","402a9720-b149-4dc7-bf8b-37d564eac3f9","Compliments"
"Country Golden Yolks Brown Eggs Free Range Large 12 Count",NULL,"$7.99",12.0,"each",16,"https://voila.ca/images-v3/2d92d19c-0354-49c0-8a91-5260ed0bf531/42ab38ae-2125-4b4a-8dfa-152695b96b41/300x300.jpg","e621b73f-f165-40f6-907a-609aabbc0751","Country Golden"
"Compliments White Eggs Medium Value Size 30 Count",NULL,"$9.99",30.0,"each",16,"https://voila.ca/images-v3/2d92d19c-0354-49c0-8a91-5260ed0bf531/d17c4562-390a-4d40-a059-4d7b509de19c/300x300.jpg","54a54900-48de-4180-a82f-00ba918f1f12","Compliments"
